rank,sDMDM1_content_1,sDMDM1_content_2,sDMDM1_content_4,sDMDM1_content_5,sDMDM1_mucus_1,sDMDM1_mucus_4,sDMDM1_mucus_5,sDMDM2_content_1,sDMDM2_content_2,sDMDM2_content_3,sDMDM2_content_4,sDMDM2_mucus_1,sDMDM2_mucus_3,sDMDM2_mucus_4,sDMDM3_content_1,sDMDM3_content_2,sDMDM3_content_4,sDMDM3_mucus_3,sDMDM3_mucus_4,sDMDM3_mucus_5,sDMDM4_content_1,sDMDM4_content_2,sDMDM4_content_3,sDMDM4_mucus_1,sDMDM4_mucus_2,sDMDM4_mucus_3,sDMDM4_mucus_4,sDMDM4_mucus_5,sDMDM5_content_2,sDMDM5_content_3,sDMDM5_mucus_3,sDMDM5_mucus_4,sDMDM5_mucus_5,SPF1_content_4,SPF1_content_5,SPF1_mucus_4,SPF1_mucus_5,SPF2_content_1,SPF2_content_2,SPF2_content_4,SPF2_content_5,SPF2_mucus_4,SPF2_mucus_5,SPF3_content_1,SPF3_content_2,SPF3_content_3,SPF3_content_5,SPF3_mucus_2,SPF3_mucus_3,SPF3_mucus_4,SPF3_mucus_5,SPF4_content_1,SPF4_content_2,SPF4_content_4,SPF4_content_5,SPF4_mucus_1,SPF4_mucus_4,SPF4_mucus_5,SPF5_content_1,SPF5_content_2,SPF5_content_5,SPF5_mucus_1,SPF5_mucus_5
UCG-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,1.67E-04,1.67E-04,6.67E-04,3.33E-04,1.67E-04,0,0,6.67E-04,3.33E-04,1.67E-04,1.67E-04,0,0,0,1.67E-04,0,6.67E-04,1.67E-04,0,0,1.67E-04,0,0,0,3.33E-04
unclassified_Bacteroidales,0,3.33E-04,0,5.00E-04,5.00E-04,0,3.33E-04,1.67E-04,0,0,1.67E-04,5.00E-04,6.67E-04,3.33E-04,1.67E-04,0,0,0,0.001166667,0.069833333,0,1.67E-04,0,3.33E-04,8.33E-04,0,1.67E-04,1.67E-04,0,0,1.67E-04,0,0,0.047333333,0.054833333,0.053666667,0.028,0.016833333,0.010833333,0.086833333,0.241333333,0.104833333,0.449166667,0.681,0.386,0.151833333,0.161,0.550666667,0.121833333,0.0685,0.135666667,0.172333333,0.057,0.123666667,0.198,0.1435,0.086333333,0.041166667,0.1065,0.064166667,1.67E-04,0.0915,0.0545
unclassified_Enterobacterales,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002166667,1.67E-04,0,0,0,0,0,0,0,0,0,0.001,0,0,0.003833333,0.018666667,0.001333333,0,0,0.001833333,0,1.67E-04,5.00E-04,5.00E-04,0,1.67E-04,0
unclassified_Oscillospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001166667,0.002166667,3.33E-04,0,1.67E-04,0.002,6.67E-04,0.002,3.33E-04,0,0.001166667,0.003,0.002666667,6.67E-04,0.002833333,0.003166667,0.001833333,8.33E-04,0.001666667,0.002666667,0.001166667,0.002166667,0.0025,0.0025,0.001666667,0.001,0,0.001333333,1.67E-04
Veillonellaceae,3.33E-04,0.002666667,0.002333333,0.002,1.67E-04,0.001833333,0.002333333,0.002166667,0.016166667,0.002166667,8.33E-04,1.67E-04,0.002833333,0.001333333,0.005166667,0.0065,0.005833333,0.003833333,0.001166667,0,0.002166667,0.008666667,0.001333333,0.001,0.001666667,0.002333333,0.0015,0.002833333,0.006166667,0.0015,0.001166667,0.001666667,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-04,0,0.018166667,0,1.67E-04
Vibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-04,5.00E-04,0.0015,0,0,0,3.33E-04,0,1.67E-04,0,0,0,0,0,0,1.67E-04,1.67E-04,0,0,0,0,0,0,0.001,0,0,0
WD2101 soil group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weeksellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
